threshold,cost,tn,fp,fn,tp,precision,recall,model
0.28357142857142853,16580,85287,8,33,115,0.9349593495934959,0.777027027027027,RandomForest
0.27347959183673465,16590,85286,9,33,115,0.9274193548387096,0.777027027027027,RandomForest
0.3542142857142857,17050,85290,5,34,114,0.957983193277311,0.7702702702702703,RandomForest
0.3138469387755102,17060,85289,6,34,114,0.95,0.7702702702702703,RandomForest
0.32393877551020406,17060,85289,6,34,114,0.95,0.7702702702702703,RandomForest
0.33403061224489794,17060,85289,6,34,114,0.95,0.7702702702702703,RandomForest
0.3441224489795918,17060,85289,6,34,114,0.95,0.7702702702702703,RandomForest
0.3643061224489796,18050,85290,5,36,112,0.9572649572649573,0.7567567567567568,RandomForest
0.37439795918367347,18050,85290,5,36,112,0.9572649572649573,0.7567567567567568,RandomForest
0.3945816326530612,18550,85290,5,37,111,0.9568965517241379,0.75,RandomForest
0.3844897959183673,18550,85290,5,37,111,0.9568965517241379,0.75,RandomForest
0.40467346938775506,19040,85291,4,38,110,0.9649122807017544,0.7432432432432432,RandomForest
0.4248571428571428,20040,85291,4,40,108,0.9642857142857143,0.7297297297297297,RandomForest
0.41476530612244894,20040,85291,4,40,108,0.9642857142857143,0.7297297297297297,RandomForest
0.4349489795918367,20530,85292,3,41,107,0.9727272727272728,0.722972972972973,RandomForest
0.4450408163265306,20530,85292,3,41,107,0.9727272727272728,0.722972972972973,RandomForest
0.45513265306122447,21030,85292,3,42,106,0.9724770642201835,0.7162162162162162,RandomForest
0.46522448979591835,21530,85292,3,43,105,0.9722222222222222,0.7094594594594594,RandomForest
0.47531632653061223,21530,85292,3,43,105,0.9722222222222222,0.7094594594594594,RandomForest
0.5257755102040816,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.5358673469387755,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.5459591836734693,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.5156836734693877,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.49549999999999994,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.4854081632653061,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.5055918367346939,22030,85292,3,44,104,0.9719626168224299,0.7027027027027027,RandomForest
0.5560510204081632,22530,85292,3,45,103,0.9716981132075472,0.6959459459459459,RandomForest
0.5661428571428571,22530,85292,3,45,103,0.9716981132075472,0.6959459459459459,RandomForest
0.576234693877551,22530,85292,3,45,103,0.9716981132075472,0.6959459459459459,RandomForest
0.5863265306122448,23030,85292,3,46,102,0.9714285714285714,0.6891891891891891,RandomForest
0.5964183673469388,23030,85292,3,46,102,0.9714285714285714,0.6891891891891891,RandomForest
0.6166020408163265,23520,85293,2,47,101,0.9805825242718447,0.6824324324324325,RandomForest
0.6065102040816326,23530,85292,3,47,101,0.9711538461538461,0.6824324324324325,RandomForest
0.6266938775510204,24520,85293,2,49,99,0.9801980198019802,0.668918918918919,RandomForest
0.6367857142857143,26020,85293,2,52,96,0.9795918367346939,0.6486486486486487,RandomForest
0.6468775510204081,26020,85293,2,52,96,0.9795918367346939,0.6486486486486487,RandomForest
0.6569693877551019,26520,85293,2,53,95,0.979381443298969,0.6418918918918919,RandomForest
0.6670612244897959,27020,85293,2,54,94,0.9791666666666666,0.6351351351351351,RandomForest
0.6771530612244897,28020,85293,2,56,92,0.9787234042553191,0.6216216216216216,RandomForest
0.6872448979591836,28520,85293,2,57,91,0.978494623655914,0.6148648648648649,RandomForest
0.6973367346938775,28520,85293,2,57,91,0.978494623655914,0.6148648648648649,RandomForest
0.7074285714285714,29520,85293,2,59,89,0.978021978021978,0.6013513513513513,RandomForest
0.7175204081632652,29520,85293,2,59,89,0.978021978021978,0.6013513513513513,RandomForest
0.7276122448979592,30020,85293,2,60,88,0.9777777777777777,0.5945945945945946,RandomForest
0.737704081632653,30020,85293,2,60,88,0.9777777777777777,0.5945945945945946,RandomForest
0.7477959183673469,30520,85293,2,61,87,0.9775280898876404,0.5878378378378378,RandomForest
